-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2020 through 12/31/2024 in LST
Location: Latitude  4.2   Longitude -74.2 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 2023.73 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
IMERG_PRECTOT       MERRA-2 Total Precipitation (mm/day) 
PRECTOTCORR         MERRA-2 Precipitation Corrected (mm/day) 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
QV2M                MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                MERRA-2 Relative Humidity at 2 Meters (%) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
IMERG_PRECTOT,2020,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
IMERG_PRECTOT,2021,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
IMERG_PRECTOT,2022,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
IMERG_PRECTOT,2023,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
IMERG_PRECTOT,2024,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
PRECTOTCORR,2020,0.76,3.79,3.75,5.66,5.58,9.42,7.16,3.86,4.28,2.19,3.59,4.8,4.56
PRECTOTCORR,2021,3.89,3.81,5.27,7.49,3.78,7.73,2.63,3.24,5.48,3.88,3.4,2.08,4.38
PRECTOTCORR,2022,1.88,4.93,7.75,9.17,12.39,7.44,8.68,6.12,5.24,8.9,5.86,2.56,6.76
PRECTOTCORR,2023,6.38,2.05,6.13,8.85,8.89,6.45,5.77,4.75,5.19,7.32,6.63,5.74,6.21
PRECTOTCORR,2024,0.69,2.54,3.09,7.83,14.01,8.94,4.4,2.2,2.72,6.28,7.02,6.67,5.54
PRECTOTCORR_SUM,2020,23.53,109.8,116.31,169.82,173.04,282.54,221.84,119.51,128.41,67.92,107.55,148.67,1668.94
PRECTOTCORR_SUM,2021,120.49,106.8,163.26,224.62,117.13,231.99,81.41,100.57,164.3,120.28,102.1,64.42,1597.37
PRECTOTCORR_SUM,2022,58.35,137.92,240.31,275.08,384.01,223.12,269.03,189.85,157.07,276.02,175.66,79.33,2465.75
PRECTOTCORR_SUM,2023,197.74,57.46,189.92,265.64,275.55,193.35,178.8,147.31,155.83,226.85,198.94,178.06,2265.45
PRECTOTCORR_SUM,2024,21.24,73.65,95.83,235.05,434.23,268.16,136.27,68.32,81.63,194.59,210.47,206.65,2026.09
QV2M,2020,12.43,12.28,12.85,12.95,12.94,12.03,11.67,11.96,11.78,11.46,12.75,12.36,12.29
QV2M,2021,11.44,12.33,12.39,12.66,12.69,12.03,11.67,11.67,11.37,12.64,12.66,12.73,12.19
QV2M,2022,11.54,11.93,12.75,12.61,12.47,12.0,11.89,11.47,11.77,12.58,13.01,12.11,12.18
QV2M,2023,11.77,11.94,12.8,12.88,13.1,12.16,12.34,12.09,12.39,12.8,12.91,13.39,12.55
QV2M,2024,12.22,13.15,13.35,13.18,13.58,12.86,12.35,11.91,12.05,12.46,13.1,13.06,12.77
RH2M,2020,82.51,80.11,82.06,83.16,83.87,83.99,83.25,82.37,80.15,77.52,83.85,79.63,81.87
RH2M,2021,78.1,79.25,83.51,83.93,84.59,84.37,82.98,80.32,79.09,81.74,82.23,80.9,81.76
RH2M,2022,76.81,79.32,84.71,85.17,85.33,85.48,84.52,82.99,80.98,85.46,87.97,83.78,83.56
RH2M,2023,84.26,81.4,85.86,86.21,85.76,85.34,84.98,82.45,80.94,82.81,84.2,85.25,84.14
RH2M,2024,78.61,79.8,78.7,81.33,85.94,86.0,85.74,81.99,79.48,80.76,86.15,83.93,82.37
